quantity,value
sigmap_iph_0-4,97 (93.1 - 99.3)
sigmap_iph_5-14,97.1 (93.3 - 99.3)
sigmap_soc_0-4,97 (93.1 - 99.3)
sigmap_soc_5-14,97.1 (93.3 - 99.3)
sigmad_iph_0-4,97.3 (93.4 - 99.5)
sigmad_iph_5-14,97.4 (93.8 - 99.6)
sigmad_soc_0-4,97.3 (93.4 - 99.5)
sigmad_soc_5-14,97.4 (93.8 - 99.6)
