type,location,mid,lo,hi
model,Cambodia,0.0580127383327172,0.0365676368329179,0.0866254546090417
model,Cameroon,0.0424683348175592,0.0291132391626525,0.0588467477363566
model,Côte d'Ivoire,0.197777348775434,0.16190727904795,0.237599182293815
model,Mozambique,0.114338345136286,0.0938875594540111,0.138037963121674
model,Sierra Leone,0.245425709701077,0.212458880987501,0.280340321195605
model,Uganda,0.0416473079340007,0.0307708160021817,0.055087905158684
model,All,0.103084143239665,0.0437826398727231,0.250253427105133
