type,location,mid,lo,hi
model,Côte d'Ivoire,0.391857014992299,0.301747274073712,0.484362778424891
model,Cameroon,0.00137336742228773,1.71916587656117e-05,0.0140510841102734
model,Cambodia,0.196305557703962,0.108128651697943,0.31188283497056
model,Mozambique,0.0382900894161638,0.0133674790250163,0.0886040671649529
model,Sierra Leone,0.334296501888466,0.288881236390317,0.382198431962108
model,Uganda,0.419221443675906,0.350382405496107,0.493171057372185
model,All,0.149835193133833,0.0197947627006948,0.612334163196752
