type,location,mid,lo,hi
model,Cambodia,0.9972593041453,0.996416750271716,0.997930982725364
model,Cameroon,0.926871340347224,0.920464877756478,0.932637165098374
model,Côte d'Ivoire,0.810671582994406,0.80670040253356,0.814800512945762
model,Mozambique,0.693134933485818,0.688478950384314,0.697653927238082
model,Sierra Leone,0.741612286983091,0.736880439487868,0.746240790212729
model,Uganda,0.936321099994115,0.934044913222877,0.938559223700451
model,All,0.893567480267904,0.549071969015156,0.979183947616452
