location,mid,lo,hi
Cambodia,0.00103203411831912,0.000650191088714129,0.00155479937269796
Cameroon,0.00438973385923725,0.00299821955043625,0.00622700750240187
Côte d'Ivoire,0.00289184995590634,0.00234885771904692,0.00351762714167511
Mozambique,0.00328469377889043,0.00268105409447747,0.00400863745136198
Sierra Leone,0.00600679788732115,0.00509147744365701,0.00702522870546127
Uganda,0.000996735833140646,0.000728392171826998,0.00132107849463677
All,0.00278322962483179,0.00123308725379506,0.00689908803307797
