location,mid,lo,hi
Cambodia,0.000424409850073981,0.000249093985187433,0.000679066678705914
Cameroon,0.00171977966060978,0.00098161159847319,0.00282668889769658
Côte d'Ivoire,0.000106957082294732,4.21238018513083e-05,0.000224681555609483
Mozambique,0.00166931033431133,0.00138171231544973,0.00199413909105473
Sierra Leone,0.0010567612653757,0.000781056924619236,0.00140863754290978
Uganda,0.000494526538611467,0.000332105776229286,0.00070252278819411
All,0.000777272622943306,0.000232818835281875,0.0033176888420467
