type,location,mid,lo,hi
model,Cambodia,0.0171189027977256,0.0152981091983123,0.0190393647433978
model,Cameroon,0.109309395935555,0.101788507544882,0.116850568330694
model,Côte d'Ivoire,0.014544504553728,0.013196198255766,0.015949331393214
model,Mozambique,0.0287830184128164,0.0268085881139614,0.0308116822491703
model,Sierra Leone,0.0245053095161263,0.0226391627254392,0.0265327587890417
model,Uganda,0.0236569848184028,0.0222471695969744,0.0251649822352733
model,All,0.0307443720555094,0.013171062596442,0.0761337966348996
