location,alpha,alpha.lo,alpha.hi
All,0.217961479919164,0.0539925873391265,0.576453737523966
Cambodia,0.291275884745421,0.174496669125782,0.44415811282523
Cameroon,0.280950731164276,0.170194807563989,0.426718124108462
Côte d'Ivoire,0.0355707391086265,0.015348234957269,0.0802659774201565
Mozambique,0.336600131251866,0.278603994290894,0.399975382852508
Sierra Leone,0.148976574527266,0.111121664044241,0.196871030877911
Uganda,0.331504664183516,0.235015659860074,0.444585605705399
