cn,d.idh.pphc.Ak,d.idh.pphc.AN,d.idh.pphc.A,d.iph.pphc.Ak,d.iph.pphc.AN,d.iph.pphc.A,d.idh.pphc.k,d.idh.pphc.N,d.idh.pphc,d.iph.pphc.k,d.iph.pphc.N,d.iph.pphc,c
ALL,59554,105354,56.5275167530421%,75318,103762,72.5872670148995%,382,1190,32.1008403361345%,1168,1915,60.9921671018277%,0.195216886960643
KH,8140,8698,93.584732122327%,11034,11144,99.0129217516152%,128,171,74.8538011695906%,61,90,67.7777777777778%,0.416666666666667
CM,3141,4709,66.702059885326%,1514,3955,38.2806573957016%,54,303,17.8217821782178%,178,374,47.5935828877005%,0.116627265563436
CI,12614,19304,65.3439701616245%,8947,19997,44.7417112566885%,49,112,43.75%,142,321,44.2367601246106%,0.161030595813205
MZ,9949,14986,66.3886293874283%,20978,28971,72.4103413758586%,16,112,14.2857142857143%,336,482,69.7095435684647%,0.182692307692308
SL,14951,39743,37.6192033817276%,5738,7767,73.8766576541779%,96,354,27.1186440677966%,27,53,50.9433962264151%,0.161030595813205
UG,10759,17914,60.0591715976331%,27107,31928,84.9004009020296%,39,138,28.2608695652174%,424,595,71.2605042016807%,0.099067599067599
